date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:49	22467/22467	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Nov%202020%2006:35:48%20GMT	https://sites.google.com/site/vmkale/goog_1422899689	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/goog_1422899689.12.delayed	(from https://sites.google.com/site/vmkale/)
12:05:59	6176/6176	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Nov%202020%2006:35:53%20GMT	https://sites.google.com/site/vmkale/_/rsrc/1581830861105/config/vmk3_7m.jpg	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/_/rsrc/1581830861105/config/vmk3_7m.jpg	(from https://sites.google.com/site/vmkale/)
12:06:08	56548/56548	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/hp/hp-lesson-plan	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/hp/hp-lesson-plan.html	(from https://sites.google.com/site/vmkale/)
12:06:13	45378/45378	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/or	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/or.html	(from https://sites.google.com/site/vmkale/)
12:06:15	53641/53641	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/or/or-lesson-plan	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/or/or-lesson-plan.html	(from https://sites.google.com/site/vmkale/)
12:06:40	102254/102254	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/conm-lesson-plan	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/conm-lesson-plan.html	(from https://sites.google.com/site/vmkale/)
12:07:07	42146/42146	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/conm-write-up-guidelines	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/conm-write-up-guidelines.html	(from https://sites.google.com/site/vmkale/)
12:07:08	23253/23253	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/test-marks	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/test-marks.html	(from https://sites.google.com/site/vmkale/)
12:07:13	25029/25029	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/conm-practical-plan	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/conm-practical-plan.html	(from https://sites.google.com/site/vmkale/)
12:07:15	23966/23966	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/conmmcq	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/conmmcq.html	(from https://sites.google.com/site/vmkale/)
12:07:18	23969/23969	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/seminar-project-ppt-guidelines	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/seminar-project-ppt-guidelines.html	(from https://sites.google.com/site/vmkale/)
12:07:23	24900/24900	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/ifp/me-i-electiveii	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/ifp/me-i-electiveii.html	(from https://sites.google.com/site/vmkale/)
12:07:31	25234/25234	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/ifp/ifp-usefullinks	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/ifp/ifp-usefullinks.html	(from https://sites.google.com/site/vmkale/)
12:07:32	30052/30052	---MCZ	200	added ('OK')	text/html	etag:%221603352043000|#public|0|en|||0|-1808380672|338416608%22	https://sites.google.com/site/vmkale/ug/NMO/CONM-programs/pdesolver	D:/git/vmkale.a4u.ac.in/a4u/sites.google.com/site/vmkale/ug/NMO/CONM-programs/pdesolver.html	(from https://sites.google.com/site/vmkale/)
